Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Atlanta,Job Title,2019-01,Data Scientist,Median Base Pay,"$100,304 ",0.90%
Atlanta,Job Title,2019-01,Data Analyst,Median Base Pay,"$66,636 ",2.90%
Boston,Job Title,2019-01,Data Scientist,Median Base Pay,"$112,119 ",0.90%
Boston,Job Title,2019-01,Data Analyst,Median Base Pay,"$72,037 ",3.00%
Chicago,Job Title,2019-01,Data Scientist,Median Base Pay,"$103,477 ",0.60%
Chicago,Job Title,2019-01,Data Analyst,Median Base Pay,"$66,489 ",2.70%
Houston,Job Title,2019-01,Data Scientist,Median Base Pay,"$111,239 ",-0.60%
Houston,Job Title,2019-01,Data Analyst,Median Base Pay,"$65,344 ",1.50%
Los Angeles,Job Title,2019-01,Data Scientist,Median Base Pay,"$117,882 ",1.10%
Los Angeles,Job Title,2019-01,Data Analyst,Median Base Pay,"$73,883 ",3.20%
NYC,Job Title,2019-01,Data Scientist,Median Base Pay,"$114,351 ",1.20%
NYC,Job Title,2019-01,Data Analyst,Median Base Pay,"$73,271 ",3.20%
Philadelphia,Job Title,2019-01,Data Scientist,Median Base Pay,"$103,698 ",1.30%
Philadelphia,Job Title,2019-01,Data Analyst,Median Base Pay,"$65,026 ",3.40%
San Francisco,Job Title,2019-01,Data Scientist,Median Base Pay,"$139,799 ",1.80%
San Francisco,Job Title,2019-01,Data Analyst,Median Base Pay,"$92,107 ",3.90%
Seattle,Job Title,2019-01,Data Scientist,Median Base Pay,"$127,949 ",1.00%
Seattle,Job Title,2019-01,Data Analyst,Median Base Pay,"$72,679 ",3.00%
Washington DC,Job Title,2019-01,Data Scientist,Median Base Pay,"$107,215 ",0.80%
Washington DC,Job Title,2019-01,Data Analyst,Median Base Pay,"$73,478 ",2.90%
Atlanta,Job Title,2019-02,Data Analyst,Median Base Pay,"$66,951 ",2.60%
Atlanta,Job Title,2019-02,Data Scientist,Median Base Pay,"$98,741 ",-0.50%
Boston,Job Title,2019-02,Data Scientist,Median Base Pay,"$111,553 ",-0.30%
Boston,Job Title,2019-02,Data Analyst,Median Base Pay,"$71,794 ",2.80%
Chicago,Job Title,2019-02,Data Scientist,Median Base Pay,"$104,876 ",-1.00%
Chicago,Job Title,2019-02,Data Analyst,Median Base Pay,"$65,931 ",2.00%
Houston,Job Title,2019-02,Data Scientist,Median Base Pay,"$108,143 ",-2.70%
Houston,Job Title,2019-02,Data Analyst,Median Base Pay,"$65,427 ",0.30%
Los Angeles,Job Title,2019-02,Data Scientist,Median Base Pay,"$115,115 ",-0.40%
Los Angeles,Job Title,2019-02,Data Analyst,Median Base Pay,"$73,704 ",2.70%
NYC,Job Title,2019-02,Data Scientist,Median Base Pay,"$113,208 ",-0.70%
NYC,Job Title,2019-02,Data Analyst,Median Base Pay,"$73,044 ",2.40%
Philadelphia,Job Title,2019-02,Data Scientist,Median Base Pay,"$105,002 ",-0.90%
Philadelphia,Job Title,2019-02,Data Analyst,Median Base Pay,"$65,268 ",2.10%
San Francisco,Job Title,2019-02,Data Scientist,Median Base Pay,"$137,120 ",-0.20%
San Francisco,Job Title,2019-02,Data Analyst,Median Base Pay,"$91,682 ",2.90%
Seattle,Job Title,2019-02,Data Scientist,Median Base Pay,"$125,726 ",-0.40%
Seattle,Job Title,2019-02,Data Analyst,Median Base Pay,"$72,666 ",2.70%
Washington DC,Job Title,2019-02,Data Scientist,Median Base Pay,"$106,639 ",-0.50%
Washington DC,Job Title,2019-02,Data Analyst,Median Base Pay,"$73,478 ",2.60%
Atlanta,Job Title,2019-03,Data Analyst,Median Base Pay,"$66,680 ",2.70%
Atlanta,Job Title,2019-03,Data Scientist,Median Base Pay,"$98,690 ",-0.70%
Boston,Job Title,2019-03,Data Scientist,Median Base Pay,"$110,287 ",-0.50%
Boston,Job Title,2019-03,Data Analyst,Median Base Pay,"$71,750 ",2.80%
Chicago,Job Title,2019-03,Data Scientist,Median Base Pay,"$101,298 ",-0.80%
Chicago,Job Title,2019-03,Data Analyst,Median Base Pay,"$66,319 ",2.50%
Houston,Job Title,2019-03,Data Scientist,Median Base Pay,"$107,427 ",-2.70%
Houston,Job Title,2019-03,Data Analyst,Median Base Pay,"$65,023 ",0.60%
Los Angeles,Job Title,2019-03,Data Scientist,Median Base Pay,"$115,076 ",-0.70%
Los Angeles,Job Title,2019-03,Data Analyst,Median Base Pay,"$73,685 ",2.60%
NYC,Job Title,2019-03,Data Scientist,Median Base Pay,"$113,051 ",-0.90%
NYC,Job Title,2019-03,Data Analyst,Median Base Pay,"$72,986 ",2.40%
Philadelphia,Job Title,2019-03,Data Scientist,Median Base Pay,"$102,996 ",-1.20%
Philadelphia,Job Title,2019-03,Data Analyst,Median Base Pay,"$65,277 ",2.10%
San Francisco,Job Title,2019-03,Data Scientist,Median Base Pay,"$138,932 ",-0.10%
San Francisco,Job Title,2019-03,Data Analyst,Median Base Pay,"$92,063 ",3.20%
Seattle,Job Title,2019-03,Data Scientist,Median Base Pay,"$125,768 ",-1.00%
Seattle,Job Title,2019-03,Data Analyst,Median Base Pay,"$72,398 ",2.40%
Washington DC,Job Title,2019-03,Data Scientist,Median Base Pay,"$104,809 ",-0.50%
Washington DC,Job Title,2019-03,Data Analyst,Median Base Pay,"$73,505 ",2.90%
Atlanta,Job Title,2019-04,Data Scientist,Median Base Pay,"$ 100,455",1.6%
