,company id,industry 1,industry 2,industry 3,industry 4,industry 5,industry 6
0,11868,Finance,Tech,,,,
1,11943,,,,,,
2,11930,Education,Tech,,,,
3,11939,Consumer,Fashion and Beauty,Social Good,,,
4,12005,,,,,,
5,11639,,,,,,
6,11640,Client Services,Consulting,,,,
7,11743,Finance,Tech,,,,
8,11890,Finance,Tech,,,,
9,1132,Advertising and Agencies,Media,Real Estate & Construction,Tech,,
10,12014,,,,,,
11,11723,Real Estate & Construction,Travel and Hospitality,,,,
12,1508,Finance,Healthcare,,,,
13,11959,,,,,,
14,11699,Education,Tech,,,,
15,11812,Advertising and Agencies,Media,Tech,,,
16,11987,,,,,,
17,1304,Consulting,Tech,,,,
18,11957,Client Services,Real Estate & Construction,,,,
19,11873,Consumer,Finance,Tech,,,
20,11777,,,,,,
21,11897,Client Services,Consulting,Engineering,Manufacturing,Tech,
22,11805,Tech,Telecom,,,,
23,11818,,,,,,
24,11758,,,,,,
25,1086,Consumer,Finance,Real Estate & Construction,Tech,,
26,1535,Finance,Tech,,,,
27,1315,,,,,,
28,11770,,,,,,
29,11855,Client Services,Tech,,,,
30,11820,Client Services,Engineering,Finance,Tech,,
31,1088,,,,,,
32,1511,,,,,,
33,11722,Engineering,Tech,,,,
34,1287,Client Services,Tech,,,,
35,1257,Finance,Tech,,,,
36,11720,Client Services,Media,Social Media,Tech,,
37,1360,Media,Tech,,,,
38,11888,Finance,Tech,Telecom,,,
39,1415,Consulting,Tech,,,,
40,11717,Client Services,Tech,,,,
41,11970,,,,,,
42,11836,Finance,Tech,,,,
43,1501,Food & Beverage,Tech,,,,
44,773,,,,,,
45,1613,,,,,,
46,11702,Finance,Tech,,,,
47,1375,,,,,,
48,11714,,,,,,
49,1238,,,,,,
50,11678,,,,,,
51,891,,,,,,
52,741,,,,,,
53,11960,Client Services,Media,Social Media,Tech,,
54,11762,Client Services,Media,,,,
55,11647,Entertainment & Gaming,Media,,,,
56,1195,Education,Tech,,,,
57,11843,,,,,,
58,11928,Food & Beverage,Manufacturing,Tech,,,
59,11907,,,,,,
60,1103,Healthcare,Tech,,,,
61,11912,Consumer,Tech,,,,
62,11833,Consulting,Tech,,,,
63,11889,,,,,,
64,11860,,,,,,
65,11636,Finance,Tech,,,,
66,11712,Consumer,Engineering,Food & Beverage,Tech,,
67,11755,Advertising and Agencies,Media,Tech,,,
68,11687,,,,,,
69,11983,,,,,,
70,338,Consumer,Fashion and Beauty,,,,
71,1199,,,,,,
72,586,,,,,,
73,1157,Client Services,Consumer,Finance,Tech,,
74,11893,Advertising and Agencies,Consulting,Social Good,,,
75,11898,Consulting,Social Good,Tech,,,
76,11895,,,,,,
77,11665,Education,Social Good,,,,
78,11764,Media,Tech,,,,
79,11708,,,,,,
80,11909,Finance,Tech,,,,
81,11831,,,,,,
82,922,,,,,,
83,11703,Consumer,Insurance,Tech,,,
84,334,Advertising and Agencies,Media,Social Media,Tech,,
85,838,Advertising and Agencies,Client Services,Tech,,,
86,11975,Finance,Tech,,,,
87,738,Consumer,Fashion and Beauty,,,,
88,1478,Finance,Tech,,,,
89,11807,Client Services,Finance,Insurance,Tech,,
90,221,Engineering,Finance,Healthcare,Tech,,
91,11871,Arts and Music,Media,,,,
92,1288,,,,,,
93,11794,Education,Social Good,,,,
94,850,,,,,,
95,972,Architecture,Engineering,,,,
96,1252,,,,,,
97,1468,,,,,,
98,92,,,,,,
99,545,,,,,,
100,880,,,,,,
101,11681,Consumer,Healthcare,Social Good,,,
102,1082,,,,,,
103,11932,Engineering,Tech,,,,
104,185,Tech,Travel and Hospitality,,,,
105,11919,Consumer,Tech,,,,
106,108,Entertainment & Gaming,Media,,,,
107,659,Engineering,Social Media,Tech,,,
108,11935,Advertising and Agencies,Tech,,,,
109,1156,Consumer,Tech,,,,
110,11880,Healthcare,Tech,,,,
111,11942,Advertising and Agencies,Client Services,Consulting,Tech,,
112,792,,,,,,
113,376,Finance,Media,,,,
114,11715,Consumer,Food & Beverage,Manufacturing,,,
115,979,Consumer,Tech,Telecom,,,
116,11875,Engineering,Insurance,Tech,,,
117,11752,Entertainment & Gaming,Tech,,,,
118,11760,,,,,,
119,11922,Arts and Music,Tech,,,,
120,11778,Consulting,Finance,Tech,,,
121,1307,,,,,,
122,638,,,,,,
123,360,,,,,,
124,1389,,,,,,
125,11774,,,,,,
126,11940,Client Services,Consulting,Education,,,
127,1527,Client Services,Consulting,Finance,,,
128,369,,,,,,
129,1448,,,,,,
130,1633,,,,,,
131,11917,Education,Tech,,,,
132,11866,,,,,,
133,11648,Consumer,Fashion and Beauty,,,,
134,829,Finance,Insurance,,,,
135,11801,Healthcare,Tech,,,,
136,1003,Finance,Tech,,,,
137,995,Real Estate & Construction,Tech,,,,
138,970,Finance,Tech,,,,
139,654,,,,,,
140,11854,,,,,,
141,365,,,,,,
142,1197,,,,,,
143,1149,Education,Healthcare,,,,
144,1322,,,,,,
145,1632,,,,,,
146,11828,,,,,,
147,1062,Client Services,Insurance,,,,
148,831,Consumer,Fashion and Beauty,,,,
149,1374,Consumer,Entertainment & Gaming,Media,Social Media,,
150,865,,,,,,
151,11844,Client Services,Media,Tech,,,
152,1097,,,,,,
153,11738,Client Services,Media,Tech,,,
154,11920,Client Services,Engineering,Tech,,,
155,11729,Media,Social Good,Tech,Travel and Hospitality,,
156,373,Client Services,Real Estate & Construction,Travel and Hospitality,,,
157,1136,Consumer,Fashion and Beauty,,,,
158,11877,Engineering,Finance,Tech,,,
159,11989,,,,,,
160,416,Advertising and Agencies,Tech,,,,
161,11726,Advertising and Agencies,Arts and Music,Client Services,Entertainment & Gaming,Media,
162,11839,Advertising and Agencies,Media,Tech,,,
163,849,Healthcare,Tech,,,,
164,11837,,,,,,
165,11679,Education,Tech,,,,
166,11711,Healthcare,Insurance,,,,
167,11730,Consumer,Food & Beverage,Social Good,,,
168,1525,Healthcare,Tech,,,,
169,1493,Consumer,Engineering,Fashion and Beauty,Healthcare,Manufacturing,Tech
170,11858,,,,,,
171,1337,Client Services,Consulting,Healthcare,,,
172,11986,,,,,,
173,11834,Food & Beverage,Social Good,,,,
174,11878,Healthcare,Insurance,Tech,,,
175,11991,,,,,,
176,1373,,,,,,
177,11984,,,,,,
178,11799,,,,,,
179,940,Engineering,Tech,,,,
180,11874,,,,,,
181,11882,Finance,Tech,,,,
182,11905,,,,,,
183,1274,Client Services,Tech,,,,
184,11962,,,,,,
185,11793,Engineering,Food & Beverage,Tech,,,
186,1218,Client Services,Law,,,,
187,11653,Consumer,Fashion and Beauty,,,,
188,311,Media,Tech,,,,
189,708,,,,,,
190,952,,,,,,
191,11772,Healthcare,Tech,,,,
192,1286,Finance,Tech,,,,
193,1491,Real Estate & Construction,Tech,,,,
194,11701,Healthcare,Tech,,,,
195,579,Consumer,Fashion and Beauty,Tech,,,
196,11977,,,,,,
197,11788,Tech,Travel and Hospitality,,,,
198,11811,Consumer,Finance,Tech,,,
199,11884,Food & Beverage,Travel and Hospitality,,,,
200,1507,Finance,Tech,,,,
201,855,,,,,,
202,11914,,,,,,
203,11867,Education,Engineering,Tech,,,
204,11972,,,,,,
205,901,Consumer,Finance,Tech,,,
206,828,,,,,,
207,1572,Client Services,Finance,Law,Tech,,
208,11901,Client Services,Consulting,,,,
209,744,Social Good,Tech,,,,
210,11966,Client Services,Consulting,Tech,,,
211,585,,,,,,
212,11950,,,,,,
213,1190,Consumer,Tech,Travel and Hospitality,,,
214,877,,,,,,
215,1605,Finance,Tech,,,,
216,1215,,,,,,
217,1196,,,,,,
218,11745,,,,,,
219,1370,Consumer,Healthcare,Tech,,,
220,1185,Education,Tech,,,,
221,660,Client Services,Finance,Tech,,,
222,279,Advertising and Agencies,Media,Tech,,,
223,996,Consumer,Tech,,,,
224,11827,Consumer,Finance,Media,Tech,,
225,402,,,,,,
226,11734,Architecture,Real Estate & Construction,,,,
227,810,Client Services,Engineering,Finance,Real Estate & Construction,Tech,
228,1489,Healthcare,Social Good,,,,
229,11816,Finance,Tech,,,,
230,295,Client Services,Finance,,,,
231,11845,Education,Tech,,,,
232,11885,Engineering,Finance,Tech,,,
233,11988,,,,,,
234,1120,Education,Tech,,,,
235,284,Entertainment & Gaming,Fashion and Beauty,,,,
236,11771,,,,,,
237,1626,,,,,,
238,909,Consumer,Fashion and Beauty,,,,
239,1331,,,,,,
240,11826,Healthcare,Tech,,,,
241,1496,Consumer,Media,,,,
242,11953,,,,,,
243,1222,Arts and Music,Consumer,Fashion and Beauty,,,
244,543,Media,Tech,,,,
245,1433,Education,Tech,,,,
246,12018,,,,,,
247,1291,,,,,,
248,1318,Architecture,Engineering,,,,
249,11891,Education,Social Good,,,,
