"State","costIndex","costRank","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"Mississippi","86.1000",1,"91.6000","70.1000","89.1000","89.2000","91.4000"
"Arkansas","86.9000",2,92,"73.9000","91.8000","83.6000","85.6000"
"Oklahoma",87,3,"95.4000","71.9000","94.1000","89.5000","93.2000"
"Missouri","87.1000",4,"96.6000","70.6000","99.6000","87.3000","95.7000"
"New Mexico","87.5000",5,"100.9000","77.7000","87.9000","91.6000","100.1000"
"Tennessee","88.7000",6,"93.3000","80.2000","93.4000","89.7000","88.5000"
"Michigan","88.9000",7,"89.3000","75.2000","97.3000","97.4000",93
"Kansas",89,8,"91.9000","73.8000",103,"92.3000","98.9000"
"Georgia","89.2000",9,"96.9000","73.8000","92.4000","97.6000","98.5000"
"Alabama","89.3000",11,"97.4000","71.5000","103.3000","88.6000","90.8000"
"Wyoming","89.3000",10,"98.7000","72.3000","87.3000","99.3000","94.9000"
"Indiana",90,12,"93.3000","77.3000",97,"93.1000","94.3000"
"Iowa","90.1000",13,"95.9000","79.6000","95.3000","95.5000","97.8000"
"Nebraska","90.8000",14,"95.5000","80.9000","90.8000","94.3000","99.9000"
"Ohio","90.8000",15,"98.7000","73.6000","91.8000","96.7000","97.6000"
"Kentucky","90.9000",16,"89.9000","77.4000","97.6000","92.8000","89.2000"
"West Virginia","91.1000",17,"92.9000","79.6000",89,"93.5000","89.1000"
"Texas","91.5000",18,"88.9000","85.3000","102.3000","91.4000","96.2000"
"Idaho","92.3000",19,"92.2000","87.1000","82.9000","106.7000","97.3000"
"Louisiana","93.9000",20,"99.9000","86.6000","89.3000","98.5000","98.8000"
"Illinois","94.5000",21,"94.2000","87.2000","100.9000","100.9000",99
"North Carolina","94.9000",22,"96.6000","83.1000","97.9000","93.4000","110.6000"
"South Carolina","95.9000",23,"101.9000","85.1000","107.6000",88,"94.2000"
"Arizona",97,24,"96.9000","91.7000","107.4000","109.6000","94.7000"
"Wisconsin","97.3000",25,"100.7000","91.4000","98.9000","98.1000","115.2000"
"Florida","97.9000",26,104,"95.4000","102.2000","96.7000","96.9000"
"Utah","98.4000",27,"98.5000","93.6000","89.4000","108.6000",96
"North Dakota","98.8000",28,"108.1000","90.3000","93.6000","104.3000","111.7000"
"South Dakota","99.8000",29,107,"109.8000","91.8000","89.8000",103
"Virginia","100.7000",30,"96.1000",108,"99.2000","88.1000","97.2000"
"Minnesota","101.6000",31,"106.7000","88.3000","96.8000","103.7000","108.6000"
"Pennsylvania","101.7000",32,"106.9000","100.8000",106,"109.5000","91.9000"
"Colorado","105.6000",33,"102.5000",119,"88.4000","101.2000","102.9000"
"Montana","106.9000",34,"105.1000","111.6000","83.9000",125,"98.4000"
"Delaware","108.1000",35,"113.4000","98.2000","96.5000",107,"101.6000"
"Nevada","108.5000",36,"108.3000","121.8000",89,"123.5000","105.7000"
"New Hampshire","109.7000",37,"100.4000","110.3000","119.5000","111.4000","116.1000"
"Washington","110.7000",38,"107.8000","117.8000","88.7000","121.7000","118.9000"
"Vermont","114.5000",39,"111.3000","126.7000","120.2000","119.9000","101.2000"
"Maine","117.5000",40,107,"123.1000","116.1000","121.4000","121.8000"
"Rhode Island","119.4000",41,"106.2000","129.4000","123.5000",124,"109.3000"
"New Jersey","125.1000",42,"109.5000","163.1000","101.6000","111.1000","101.7000"
"Connecticut","127.7000",43,"114.2000","144.7000","128.1000","111.8000","113.7000"
"Maryland","129.7000",44,"108.5000","184.5000","107.3000","116.7000","89.2000"
"Alaska","129.9000",45,"134.2000","133.9000","154.2000","130.8000","150.9000"
"Massachusetts","131.6000",46,"113.9000","170.3000","109.7000",116,"117.6000"
"Oregon","134.2000",47,"110.3000","181.8000",88,"136.7000","113.2000"
"New York","139.1000",48,"114.8000","204.4000","108.7000","116.6000","104.8000"
"California","151.7000",49,"121.4000","227.3000","117.7000","138.9000","114.5000"
"Washington DC","158.4000",50,"115.5000",267,"119.7000","116.6000","97.3000"
"Hawaii","192.9000",51,"169.3000","318.6000","172.7000","148.6000","116.8000"
